fold_idx,auc,best_threshold,accuracy,sensitivity,specificity,ppv,npv,C,gamma,kernel,probability,random_state
1,0.9197530864197532,0.41616272903179413,0.9298245614035088,0.9666666666666667,0.8888888888888888,0.90625,0.96,10.0,scale,linear,True,42
2,0.937037037037037,0.42390974178571905,0.9298245614035088,1.0,0.8518518518518519,0.8823529411764706,1.0,10.0,scale,linear,True,42
3,0.9576923076923077,0.5243489241435402,0.8928571428571429,0.9,0.8846153846153846,0.9,0.8846153846153846,10.0,scale,linear,True,42
4,0.9653846153846154,0.36714634111564737,0.9642857142857143,1.0,0.9230769230769231,0.9375,1.0,10.0,scale,linear,True,42
5,0.95,0.38038737687902846,0.9285714285714286,0.9666666666666667,0.8846153846153846,0.90625,0.9583333333333334,10.0,scale,linear,True,42
1,0.9839506172839506,0.2653839317234068,0.9649122807017544,1.0,0.9259259259259259,0.9375,1.0,10.0,auto,rbf,True,42
2,0.9209876543209876,0.5577815611072832,0.9298245614035088,0.9333333333333333,0.9259259259259259,0.9333333333333333,0.9259259259259259,10.0,auto,rbf,True,42
3,0.9102564102564102,0.8506458655685003,0.8392857142857143,0.7333333333333333,0.9615384615384616,0.9565217391304348,0.7575757575757576,10.0,auto,rbf,True,42
4,0.9910256410256411,0.42722242761719,0.9642857142857143,1.0,0.9230769230769231,0.9375,1.0,10.0,auto,rbf,True,42
5,0.9461538461538461,0.5579293659711155,0.9285714285714286,0.9333333333333333,0.9230769230769231,0.9333333333333333,0.9230769230769231,10.0,auto,rbf,True,42
1,0.9197530864197532,0.41616272903179413,0.9298245614035088,0.9666666666666667,0.8888888888888888,0.90625,0.96,10.0,auto,linear,True,42
2,0.937037037037037,0.42390974178571905,0.9298245614035088,1.0,0.8518518518518519,0.8823529411764706,1.0,10.0,auto,linear,True,42
3,0.9576923076923077,0.5243489241435402,0.8928571428571429,0.9,0.8846153846153846,0.9,0.8846153846153846,10.0,auto,linear,True,42
4,0.9653846153846154,0.36714634111564737,0.9642857142857143,1.0,0.9230769230769231,0.9375,1.0,10.0,auto,linear,True,42
5,0.95,0.38038737687902846,0.9285714285714286,0.9666666666666667,0.8846153846153846,0.90625,0.9583333333333334,10.0,auto,linear,True,42
1,0.9839506172839506,0.6264592362752429,0.9473684210526315,0.9333333333333333,0.9629629629629629,0.9655172413793104,0.9285714285714286,50.0,scale,rbf,True,42
2,0.9024691358024691,0.3220401259013142,0.8947368421052632,0.9666666666666667,0.8148148148148148,0.8529411764705882,0.9565217391304348,50.0,scale,rbf,True,42
3,0.8423076923076923,0.26805031470268587,0.8214285714285714,0.9666666666666667,0.6538461538461539,0.7631578947368421,0.9444444444444444,50.0,scale,rbf,True,42
4,0.9692307692307692,0.5940450094415448,0.9464285714285714,0.9666666666666667,0.9230769230769231,0.9354838709677419,0.96,50.0,scale,rbf,True,42
5,0.9205128205128206,0.6293080501638924,0.9107142857142857,0.9,0.9230769230769231,0.9310344827586207,0.8888888888888888,50.0,scale,rbf,True,42
1,0.9197530864197532,0.41477129737554713,0.9298245614035088,0.9666666666666667,0.8888888888888888,0.90625,0.96,50.0,scale,linear,True,42
2,0.937037037037037,0.42790753479868127,0.9298245614035088,1.0,0.8518518518518519,0.8823529411764706,1.0,50.0,scale,linear,True,42
3,0.9576923076923077,0.5230370145837632,0.8928571428571429,0.9,0.8846153846153846,0.9,0.8846153846153846,50.0,scale,linear,True,42
4,0.9653846153846154,0.36497818398488213,0.9642857142857143,1.0,0.9230769230769231,0.9375,1.0,50.0,scale,linear,True,42
5,0.95,0.38314369288585337,0.9285714285714286,0.9666666666666667,0.8846153846153846,0.90625,0.9583333333333334,50.0,scale,linear,True,42
1,0.9839506172839506,0.6264592362752429,0.9473684210526315,0.9333333333333333,0.9629629629629629,0.9655172413793104,0.9285714285714286,50.0,auto,rbf,True,42
2,0.9024691358024691,0.3220401259013142,0.8947368421052632,0.9666666666666667,0.8148148148148148,0.8529411764705882,0.9565217391304348,50.0,auto,rbf,True,42
3,0.8423076923076923,0.26805031470268587,0.8214285714285714,0.9666666666666667,0.6538461538461539,0.7631578947368421,0.9444444444444444,50.0,auto,rbf,True,42
4,0.9692307692307692,0.5940450094415448,0.9464285714285714,0.9666666666666667,0.9230769230769231,0.9354838709677419,0.96,50.0,auto,rbf,True,42
5,0.9205128205128206,0.6293080501638924,0.9107142857142857,0.9,0.9230769230769231,0.9310344827586207,0.8888888888888888,50.0,auto,rbf,True,42
1,0.9197530864197532,0.41477129737554713,0.9298245614035088,0.9666666666666667,0.8888888888888888,0.90625,0.96,50.0,auto,linear,True,42
2,0.937037037037037,0.42790753479868127,0.9298245614035088,1.0,0.8518518518518519,0.8823529411764706,1.0,50.0,auto,linear,True,42
3,0.9576923076923077,0.5230370145837632,0.8928571428571429,0.9,0.8846153846153846,0.9,0.8846153846153846,50.0,auto,linear,True,42
4,0.9653846153846154,0.36497818398488213,0.9642857142857143,1.0,0.9230769230769231,0.9375,1.0,50.0,auto,linear,True,42
5,0.95,0.38314369288585337,0.9285714285714286,0.9666666666666667,0.8846153846153846,0.90625,0.9583333333333334,50.0,auto,linear,True,42
