,dice,RVE,Sens,Spec,HD95
397315.nii.gz,0.9126640652713731,0.022963760315751706,0.9231431646932186,0.9988746546500387,1.4142135381698608
397450.nii.gz,0.9056751060341913,0.0479603527750393,0.9273933548266766,0.9973576164006472,1.4142135381698608
397481.nii.gz,0.7120304844855757,0.025438910784664995,0.7029738445001792,0.9969337685925674,6.5604777336120605
398307.nii.gz,0.9573426573426574,0.03148928847973845,0.9422696377871462,0.9995262040243142,1.0
399032.nii.gz,0.9736475609976668,0.01358438342195353,0.980260761890888,0.9992869733538435,1.0
399774.nii.gz,0.9019128267841899,0.05788224121557455,0.9280151946818613,0.9979799695702911,1.4142135381698608
399813.nii.gz,0.915245246062189,0.0043973941368078175,0.9132328990228012,0.9985019697283848,1.7320507764816284
419104.nii.gz,0.9559442727554582,0.028919510319947956,0.9421215526248349,0.9992330395493677,1.7320507764816284
423166.nii.gz,0.9172808883631839,0.11790603402445508,0.8632044125465178,0.999573878968135,2.4142136573791504
424976.nii.gz,0.9289198971830248,0.0802342142744105,0.8916543181458516,0.9992343053162488,1.0
426519.nii.gz,0.9556944379907998,0.0019069323969210018,0.9566056603334806,0.9989870410939956,1.0
426761.nii.gz,0.8059304703476486,0.019492855372924753,0.8137854133972082,0.9974349414429214,7.732050895690918
430944.nii.gz,0.9159489582673676,0.0654507587938929,0.8859741810998301,0.997578069464816,2.0
435688.nii.gz,0.9130774272605512,0.07971315118828898,0.9494695667634683,0.9963221745628231,2.0
440622.nii.gz,0.9229304215337737,0.04160456224483183,0.9421294796189489,0.9983352655820769,1.0
443855.nii.gz,0.8309062261268144,0.3413543500740617,0.9727229535228193,0.9805201230525661,22.02457618713379
444604.nii.gz,0.8180757200877652,0.1221517733306915,0.8680404200515157,0.9984247432607876,2.4142136573791504
445598.nii.gz,0.8830982236154652,0.1257219013771657,0.9386106175033319,0.9970151620378572,60.146263122558594
450286.nii.gz,0.9563487350041573,0.03483791906165203,0.9396901350917632,0.9993160703107924,1.0
452699.nii.gz,0.8239249463673917,0.16513570661028112,0.8919546604734999,0.9959318222762283,7.656854152679443
455993.nii.gz,0.9545678154932431,0.030435154313071727,0.9400416061098287,0.9994634873632113,1.0
457709.nii.gz,0.851405693792222,0.06912805745530587,0.8219776829331003,0.9971580271975857,4.732050895690918
460596.nii.gz,0.9358138145883248,0.07243874040059134,0.9019192275991993,0.9992298633832651,1.0
464798.nii.gz,0.971473373137929,0.04469339622641509,0.9497641509433963,0.9998464517950112,1.0
468316.nii.gz,0.8959823885525595,0.06568977393700294,0.8665539482747824,0.9994051804276873,10.14626407623291
470577.nii.gz,0.7874137722376864,0.26611549437636395,0.6826422695987914,0.9992437624336357,9.485280990600586
473939.nii.gz,0.9513084298841391,0.029715635147102234,0.9371740627767392,0.9994784538675784,1.0
504685.nii.gz,0.9302531283332034,0.026542766197761577,0.917907382688161,0.9982984264376095,1.0
